ID,CITY,POPULATION,STATE
1.0,Mumbai,12442373,Maharashtra
2.0,Delhi,11034555,Delhi
3.0,Bangalore,8443675,Karnataka
4.0,Hyderabad,6993262,Telangana
5.0,Ahmedabad,5577940,Gujarat
6.0,Chennai,4646732,Tamil Nadu
7.0,Kolkata,4496694,West Bengal
8.0,Surat,4467797,Gujarat
9.0,Pune,3124458,Maharashtra
10.0,Jaipur,3046163,Rajasthan
11.0,Lucknow,2817105,Uttar Pradesh
12.0,Kanpur,2765348,Uttar Pradesh
13.0,Nagpur,2405665,Maharashtra
14.0,Visakhapatnam,2035922,Andhra Pradesh
15.0,Indore,1960631,Madhya Pradesh
16.0,Thane,1818872,Maharashtra
17.0,Bhopal,1798218,Madhya Pradesh
18.0,Pimpri-Chinchwad,1729359,Maharashtra
19.0,Patna,1683200,Bihar
20.0,Vadodara,1666703,Gujarat
21.0,Ghaziabad,1636068,Uttar Pradesh
22.0,Ludhiana,1613878,Punjab
23.0,Coimbatore,1601438,Tamil Nadu
24.0,Agra,1585704,Uttar Pradesh
25.0,Madurai,1561129,Tamil Nadu
26.0,Nashik,1486973,Maharashtra
27.0,Faridabad,1404653,Haryana
28.0,Meerut,1309023,Uttar Pradesh
29.0,Rajkot,1286995,Gujarat
30.0,Kalyan-Dombivali,1246381,Maharashtra
31.0,Vasai-Virar,1221233,Maharashtra
32.0,Varanasi,1201815,Uttar Pradesh
33.0,Srinagar,1192792,Jammu and Kashmir
34.0,Aurangabad,1171330,Maharashtra
35.0,Dhanbad,1161561,Jharkhand
36.0,Amritsar,1132761,Punjab
37.0,Navi Mumbai,1119477,Maharashtra
38.0,Allahabad,1117094,Uttar Pradesh
39.0,Ranchi,1073440,Jharkhand
40.0,Howrah,1072161,West Bengal
41.0,Jabalpur,1054336,Madhya Pradesh
42.0,Gwalior,1053505,Madhya Pradesh
43.0,Vijayawada,1034358,Andhra Pradesh
44.0,Jodhpur,1033918,Rajasthan
45.0,Raipur,1010087,Chhattisgarh
46.0,Kota,1001694,Rajasthan
47.0,Guwahati,963429,Assam
48.0,Chandigarh,960787,Chandigarh
49.0,Solapur,951118,Maharashtra
50.0,Hubballi-Dharwad,943857,Karnataka
51.0,Tiruchirappalli,916674,Tamil Nadu
52.0,Bareilly,898167,Uttar Pradesh
53.0,Mysore,887446,Karnataka
54.0,Tiruppur,877778,Tamilnadu
55.0,Gurgaon,876824,Haryana
56.0,Aligarh,872575,Uttar Pradesh
57.0,Jalandhar,862196,Punjab
58.0,Bhubaneswar,837737,Odisha
59.0,Salem,831038,Tamil Nadu
60.0,Mira-Bhayandar,814655,Maharashtra
61.0,Warangal,811844,Telangana
